的	的	de5, di4, di2	(possessive, modifying, or descriptive particle)
不	不	bu4	no; not
一	一	yi1	one; once; a (article) (Kangxi radical 1)
我	我	wo3	I; me
是	是	shi4	to be (is, am, are)
人	人	ren2	person; man; people (Kangxi radical 9)
有	有	you3	have; there is
了	了	le5, liao3, liao4	(particle for a new situation or completed action), finish; understand; clear
大	大	da4, dai4	big; large; great (Kangxi radical 37)
国	國	guo2	country; state; nation
来	來	lai2	come; arrive; ever since; next
生	生	sheng1	to be born; to give birth; to start (a fire); to grow; to be afflicted with; raw; uncooked; life; student (Kangxi radical 100)
在	在	zai4	be at, on, in (a place or time); exist; rest with; (indicating an action in progress)
子	子	zi3, zi5	son; child; 1st Earthly Branch (Kangxi radical 39); seed; (noun suffix)
们	們	men5, men2	(particle forming a plural pronoun)
中	中	zhong1, zhong4	in the middle; medium; among; China; to hit (the mark); be hit; receive
上	上	shang4	above; up; on top; get on; go up; to attend
他	他	ta1	he; him; (gender-neutral term for both sexes)
时	時	shi2	time; o'clock; when
小	小	xiao3	small; young (Kangxi radical 42)
地	地	di4, de5	earth; ground;; - ly (structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct)
出	出	chu1	go out; occur
以	以	yi3	to use; according to; so as to; for; by
学	學	xue2	to study; learn; science; -ology
可	可	ke3	can; may; able to; but; approve; very
自	自	zi4	from; since; self (Kangxi radical 132)
这	這	zhe4, zhei4	this; these
会	會	hui4, kuai4	can; to know how; be good at; be likely to; shall; meeting; conference; accounts
成	成	cheng2	finish; complete; accomplish; to turn into; to become
家	家	jia1	family; home; household; MW for businesses
到	到	dao4	arrive (at a place); until (a time)
为	為	wei2, wei4	be; become; for; on account of
天	天	tian1	day; sky; heaven; weather
心	心	xin1	heart; mind (Kangxi radical 61)
年	年	nian2	year
然	然	ran2	correct; thus; so; like that; however
要	要	yao4, yao1	to want; to need; will/shall; important; demand; request
得	得	de2, dei3, de5	obtain; must; (complement particle)
说	說	shuo1, shui4	speak; to say; to talk
过	過	guo4	to pass; to cross; go over; celebrate; (indicates a past experience)
个	個	ge5, ge4	general measure word; individual
著	著	zhu4, zhe5, zhao2	write; book; make known; prove<br/>-ing (indicating action in progress, when used as a traditional character)<br/>to touch; come into contact with
能	能	neng2	can; be able; capable; energy; ability
下	下	xia4	under; below; to descend; to fall; down; next; the second (of two parts)
动	動	dong4	to move; to use; to act
发	發	fa1	send out; to issue; to show (one's feelings); to develop
台	臺	tai2	platform; stage; terrace; Taiwan (abbr.)
么	麼	me5	interrogative/indefinite final particle
车	車	che1, ju1	car; vehicle; machine (Kangxi radical 159); (written) chariot
那	那	na4, nei4	that; in that case; then
行	行	xing2, hang2	to walk; be current; do; will do; okay; a row; series; place; a firm; (Kangxi radical 144)
经	經	jing1	classics; scripture; pass through; experience; warp; longitude
去	去	qu4	go; go to (a place); send; cause to go; remove; get rid of; depart from
好	好	hao3, hao4	good; well; nice; very; quite; be fond of
开	開	kai1	to open; to start; to turn on; to operate (a vehicle)
现	現	xian4	to appear; to display; present; current; at the time
就	就	jiu4	then; at once; just; only; with regard to; exactly; precisely
作	作	zuo4	do; make; regard as; act as; write
后	後	hou4	back; behind; rear; after; later
多	多	duo1	many; much; a lot of; more than
方	方	fang1	square; direction; side; surname (Kangxi radical 70)
如	如	ru2	if; as if; such as; for example; compared to
事	事	shi4	matter; affair; thing; event; trouble; accident; job; work; responsibility; involvement
公	公	gong1	public; fair; honorable (designation); international; male (animal)
看	看	kan4, kan1	see; look at; to watch; regard<br/>watch over; look after
也	也	ye3	also; too, as well as
长	長	chang2, zhang3	long; length<br/>grow; chief (Kangxi radical 168)
面	面	mian4	face; aspect; side; noodle; flour (Kangxi radical 176)
力	力	li4	power; force; strength (Kangxi radical 19)
起	起	qi3	to rise; to raise; get up
里	裡	li3	inside; internal
高	高	gao1	high; tall (Kangxi radical 189)
用	用	yong4	to use (Kangxi radical 101)
业	業	ye4	industry; occupation; enterprise; property; (Buddhism) karma; deed; to engage in
你	你	ni3	you
因	因	yin1	cause; reason; because; on account of
而	而	er2	and; but; yet; while (Kangxi radical 126)
分	分	fen1, fen4	divide; part; minute; cent<br/>component; share; ingredient; point
市	市	shi4	market; city
于	於	yu2	in; at; to
道	道	dao4	way; direction; method; road; Dao(ism); MW for long thin things (rivers)
外	外	wai4	outer; outside; in addition; foreign
没	沒	mei2, mo4	not have; there is not; (negative verb prefix)<br/>to drown; submerge
无	無	wu2	have not; without; not (Kangxi radical 71)
同	同	tong2	same; similar; together; with
法	法	fa3	law; method; way
前	前	qian2	before; in front; forward
水	水	shui3	water (Kangxi radical 85)
电	電	dian4	electricity; electrical
民	民	min2	people; subjects; citizens
对	對	dui4	correct; a pair; to face; be opposite; to; towards
儿	兒	er2	child; son (Kangxi radical 10); ; (retroflex final)
日	日	ri4	sun; day; date; time (Kangxi radical 72)
之	之	zhi1	(literary equivalent to 的); (pronoun); of
文	文	wen2	language; literature; culture; writing (Kangxi radical 67)
当	當	dang1, dang4	should; act as; manage; match, appropriate; assume; pawn
教	教	jiao1, jiao4	to teach; instruct<br/>religion; teaching
新	新	xin1	new
意	意	yi4	meaning; thought; wish; expect
情	情	qing2	feeling; emotion; passion; condition
所	所	suo3	place; office; that which; (mw for houses, buildings, facilities)
实	實	shi2	real; true; honest; solid
工	工	gong1	work; skill (Kangxi radical 48)
全	全	quan2	whole; entire; complete
定	定	ding4	to set; to fix; determine<br/>surely; certainly
美	美	mei3	beautiful; America
理	理	li3	texture, grain, reason, logic; science; to manage...
头	頭	tou2	head; the first; leading; (mw for larger livestock)
本	本	ben3	(mw for books); root or stem of plants; origin; this
明	明	ming2	clear; bright; light; brilliant, understand
气	氣	qi4	air; anger; steam; gas; spirit
进	進	jin4	enter; come in
样	樣	yang4	appearance; shape; form; manner; sample; model; pattern; tendency; likelihood
都	都	dou1, du1	all; both<br/>capital; metropolis
主	主	zhu3	owner; host; master
