一	一	yi1	one; once; a (article) (Kangxi radical 1)
二	二	er4	two (Kangxi radical 7)
三	三	san1	three
四	四	si4	four
五	五	wu3	five
六	六	liu4	six
七	七	qi1	seven
八	八	ba1	eight (Kangxi radical 12); (original meaning: separate; distinguish; all around)
九	九	jiu3	nine
十	十	shi2	ten (Kangxi radical 24)
口	口	kou3	mouth (Kangxi radical 30); (mw for people, mouthfuls)
日	日	ri4	sun; day; date; time (Kangxi radical 72)
月	月	yue4	moon; month; (Kangxi radical 74: moon; Kangxi radical 130: flesh)
田	田	tian2	field (Kangxi radical 102); surname
目	目	mu4	eye; item; section (Kangxi radical 109)
古	古	gu3	ancient; old
胡	胡	hu2	recklessly; non-Han people; why?
吾	吾	wu2	{literary} I; my; our; (first person pronoun)
朋	朋	peng2	friend; companion
明	明	ming2	clear; bright; light; brilliant, understand
品	品	pin3	article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste something; to sample; to criticize; to comment; to judge; to size up
晶	晶	jing1	crystal; clear; bright
昌	昌	chang1	prosperous; flourishing; surname Chang
唱	唱	chang4	sing; call loudly; to chant
早	早	zao3	early; (early) morning; good morning!
旭	旭	xu4	rising sun; dawn; brilliance of the rising sun; surname Xu
世	世	shi4	life; age; generation; world
胃	胃	wei4	stomach
旦	旦	dan4	dawn; morning; day-break
凹	凹	ao1	a depression; indentation; concave
凸	凸	tu1	convex; protruding; to stick out
自	自	zi4	from; since; self (Kangxi radical 132)
白	白	bai2	white; snowy; pure; bright; empty (Kangxi radical 106)
百	百	bai3	hundred
皂	皂	zao4	soap; (of clothes, shoes, etc.) black
中	中	zhong1, zhong4	in the middle; medium; among; China; to hit (the mark); be hit; receive
千	千	qian1	thousand
舌	舌	she2, gua1	tongue (Kangxi radical 135)
升	升	sheng1	rise; hoist; promote; liter
昇	昇	sheng1	rise; hoist; promote (variant of 升)
丸	丸	wan2	ball; pill; pellet
卜	卜	bu3	divination; foretell (Kangxi radical 25)
占	占	zhan4, zhan1	occupy; seize; constitute, to divine; fortune telling
上	上	shang4	above; up; on top; get on; go up; to attend
下	下	xia4	under; below; to descend; to fall; down; next; the second (of two parts)
卡	卡	ka3, qia3	card; calorie<br/>get stuck
卓	卓	zhuo2	outstanding; lofty
朝	朝	chao2, zhao1	to face; towards; dynasty; morning; day
嘲	嘲	chao2	ridicule; tease
只	只	zhi3	only; merely; just; but
贝	貝	bei4	shell; money (Kangxi radical 154)
贴	貼	tie1	to paste; to stick; subsidize; keep close to
贞	貞	zhen1	chaste; virtuous; pure
员	員	yuan2	person engaged in some activity; member; employee
见	見	jian4	see; meet; appear to be ; (Kangxi radical 147)
元	元	yuan2	Chinese monetary unit; dollar; first; principal
页	頁	ye4	page; leaf (Kangxi radical 181)
顽	頑	wan2	mischievous; stubborn; naughty
凡	凡	fan2	ordinary; common; any; all; every
肌	肌	ji1	flesh; muscle tissue
负	負	fu4	to bear; to lose; negative
匀	勻	yun2	even; divided evenly; uniform
句	句	ju4	(mw for sentences or lines); clause; phrase
旬	旬	xun2	ten days; ten years (in age, of the elderly)
勺	勺	shao2	spoon; ladle
的	的	de5, di4, di2	(possessive, modifying, or descriptive particle)
首	首	shou3	head; chief; first; (mw for poems and songs) (Kangxi radical 185)
直	直	zhi2	straight; vertical; frank; directly; continuously
置	置	zhi4	install; to place; put; buy
具	具	ju4	tool; instrument; have
真	真	zhen1	real; true; genuine
工	工	gong1	work; skill (Kangxi radical 48)
左	左	zuo3	the left side; left
右	右	you4	the right side; to the right
有	有	you3	have; there is
贿	賄	hui4	(formal) wealth; bribe; bribery
贡	貢	gong4	offer tribute; contributions; gifts;; surname Gong
项	項	xiang4	nape (of the neck); sum (of money); item; thing; (mw for items, clauses, projects; etc.)
刀	刀	dao1	knife; blade (Kangxi radical 18)
刃	刃	ren4	blade; knife edge
切	切	qie1, qie4	to cut; to slice; rip off<br/>correspond to; absolutely; ardently
召	召	zhao4	call together; summon; convene; recruit
昭	昭	zhao1	clear; obvious; manifest; to show clearly
则	則	ze2	rule; regulation; standard; criterion; then; in that case; (mw for written items)
副	副	fu4	deputy; assistant; vice-; auxiliary; subsidiary; (mw for pairs, sets of things, facial expressions)
丁	丁	ding1	fourth; male adult; robust; cubes (of food); T-shaped; (4th Heavenly Stem) nail (primitive form)
叮	叮	ding1	to sting; to bite; say or ask repeatedly; stick to a point
可	可	ke3	can; may; able to; but; approve; very
哥	哥	ge1	elder brother
顶	頂	ding3	top; roof; (measure word for headwear); crest
乙	乙	yi3	second; someone; so-and-so; (2nd Heavenly Stem) (Kangxi radical 5)
子	子	zi3, zi5	son; child; 1st Earthly Branch (Kangxi radical 39); seed; (noun suffix)
孔	孔	kong3	hole; opening; aperture; surname 
吼	吼	hou3	roar; howl
了	了	le5, liao3, liao4	(particle for a new situation or completed action), finish; understand; clear
女	女	nv3	woman; female (Kangxi radical 38)
好	好	hao3, hao4	good; well; nice; very; quite; be fond of
如	如	ru2	if; as if; such as; for example; compared to
母	母	mu3	mother; female (Kangxi radical 80)
贯	貫	guan4	pierce; thread for stringing holed copper coins; thread together
兄	兄	xiong1	elder brother
克	克	ke4	gram; overcome; restrain
小	小	xiao3	small; young (Kangxi radical 42)
少	少	shao3, shao4	few; little; lack; lose; young
吵	吵	chao3	to quarrel; make a noise; noisy
大	大	da4, dai4	big; large; great (Kangxi radical 37)
尖	尖	jian1	point; tip; top; shrill; sharp; acute; (coll.) cream of the crop
夕	夕	xi1	sunset; evening (Kangxi radical 36)
多	多	duo1	many; much; a lot of; more than
够	夠	gou4	enough; to reach
外	外	wai4	outer; outside; in addition; foreign
名	名	ming2	name; reputation; famous; (mw for people)
厚	厚	hou4	thick (for flat things); generous
石	石	shi2	stone (Kangxi radical 112)
砂	砂	sha1	sand; grit; gravel (see also with 氵 radical)
妙	妙	miao4	clever; wonderful; excellent; ingenious; subtle
肖	肖	xiao4, xiao1	resemble; look like<br/>surname Xiao
削	削	xiao1, xue1	to peel with a knife; to cut; to chop; to pare; to reduce; to remove
光	光	guang1	light; ray; bright; only; merely; used up
太	太	tai4	too (much); excessively; highest; greatest
省	省	sheng3, xing3	to save; economize; omit; province<br/>examine oneself; to visit; be aware
奇	奇	qi2, ji1	strange; rare; wonderful<br/>odd (number)
川	川	chuan1	river; Sichuan province (abbr.); a plain (variant of radical 47, 巛)
州	州	zhou1	province; sub-prefecture; federal state
顺	順	shun4	smooth; to obey; to follow; to yield to; to arrange; take the opportunity to; convenient
水	水	shui3	water (Kangxi radical 85)
永	永	yong3	forever; always; eternal
求	求	qiu2	beg, request, beseech; ask (for), demand; seek, strive for; a surname
泉	泉	quan2	fountain; spring
原	原	yuan2	original; raw; level; cause; source
愿	願	yuan4	to hope; to wish; desire; be willing
冲	沖	chong1, chong4	to make (coffee, powered milk, etc); to rinse; to rush; to flush; to wash away; thoroughfare; hub; powerful; vigorous; pungent; towards; in view of
泳	泳	yong3	to swim
洲	洲	zhou1	continent; island
沼	沼	zhao3	pond; pool; marsh; swamp
沙	沙	sha1	sand; granule
江	江	jiang1	large river; Yangtze (abbrev.); a surname
汁	汁	zhi1	juice
潮	潮	chao2	tide; current; damp
源	源	yuan2	root; source; origin
活	活	huo2	to live; alive; living; lively; save (a life); work; product
消	消	xiao1	disappear; eliminate; use up (time)
况	況	kuang4	moreover; situation
河	河	he2	river
湖	湖	hu2	lake
测	測	ce4	to measure; predict; fathom
土	土	tu3	earth; soil; land; local (Kangxi radical 32); unsophisticated
均	均	jun1	equal; even; all
肚	肚	du4, du3	belly; stomach; tripe
填	填	tian2	write; fill in
吐	吐	tu3, tu4	to spit; to vomit; throw up; to say; to pour out (one's grievances)
哇	哇	wa1, wa5	wow; (sound of crying or vomiting); (used for 啊 after words ending with u or ao)
寸	寸	cun4	inch; (unit of length) (Kangxi radical 41); a little bit
封	封	feng1	confer; to seal; bestow; (mw for letters)
寺	寺	si4	Buddhist temple; mosque; government bureau or office (in ancient China)
时	時	shi2	time; o'clock; when
火	火	huo3	fire (Kangxi radical 86); urgent; hot (popular); fiery
灰	灰	hui1	ash; gray (grey); dust; lime
烦	煩	fan2	feel vexed; annoyed; to trouble; to bother
炎	炎	yan2	flame; scorching hot; inflammation; -itis
淡	淡	dan4	thin (consistency of liquid); light; mild; bland; tasteless; pale; indifferent
灾	災	zai1	disaster; calamity
照	照	zhao4	shine; illuminate; according to; to take (a photo); license, permit
鱼	魚	yu2	fish (Kangxi radical 195)
渔	漁	yu2	to catch fish
尧	堯	Yao2	surname Yao; Tang Yao (one of five legendary emperors, 2200 BCE)
烧	燒	shao1	to burn; to cook; to stew
晓	曉	xiao3	dawn; daybreak; make explicit; know
里	里	li3	Chinese mile (~.5 km); neighborhood (Kangxi radical 166)
量	量	liang4, liang2	quantity; capacity; to measure
埋	埋	mai2, man2	to bury; to hide; complain
黑	黑	hei1	black; dark (Kangxi radical 203)
点	點	dian3	spot; drop; dot; point; a bit; a little; o'clock; to order (in a restaurant); to light; to ignite
墨	墨	mo4	ink
冒	冒	mao4	to emit; brave; bold; send out; to cover
同	同	tong2	same; similar; together; with
洞	洞	dong4	cave; hole; zero (unambiguous spoken form when spelling out numbers)
向	向	xiang4	direction; towards; to turn; to face
尚	尚	shang4	still; yet; to value; to esteem
字	字	zi4	word; letter; character
守	守	shou3	to guard; keep watch; observe (rules and rituals)
完	完	wan2	finish; be over; complete
实	實	shi2	real; true; honest; solid
宣	宣	xuan1	announce; proclaim
宵	宵	xiao1	night
安	安	an1	peaceful; calm; safe; content; settle; stabilize
宴	宴	yan4	feast; banquet
寄	寄	ji4	send; to mail; depend on
富	富	fu4	wealthy
贮	貯	zhu4	store; save; stockpile
木	木	mu4	tree; wood (Kangxi radical 75)
林	林	lin2	woods; forest; a common surname
森	森	sen1	forest
植	植	zhi2	to plant; grow; establish
杏	杏	xing4	apricot
呆	呆	dai1	stupid; foolish; blank; dumbstruck; to stay
枯	枯	ku1	withered; dried-up 
村	村	cun1	village; rustic; boorish
相	相	xiang1, xiang4	each other; mutually; size up by appearance; appearance; posture; Japanese government minister
本	本	ben3	(mw for books); root or stem of plants; origin; this
案	案	an4	(legal) case; incident; record; file
未	未	wei4	not yet; did not; have not (8th Earthly Branch)
末	末	mo4	end; final; tip
沫	沫	mo4	foam; froth; bubbles
味	味	wei4	taste; flavour; odour
妹	妹	mei4	younger sister
查	查	cha2	examine; investigate; to check
渣	渣	zha1	dregs; slag
染	染	ran3	dye; contaminate; catch (a disease)
李	李	li3	plum; surname Li
桌	桌	zhuo1	table
若	若	ruo4	be like; as if; if
草	草	cao3	grass; straw; draft (of a document)
苦	苦	ku3	bitter; hardship; suffering; pain; cause sb. suffering; suffer from; painstakingly
宽	寬	kuan1	wide; broad; relaxed; lenient
叶	葉	ye4, xie2	leaf; page; epoch; harmonize
莫	莫	mo4	do not; there is none who; nobody, my last name
模	模	mo2, mu2	model; imitate; mold; pattern
漠	漠	mo4	a desert; indifferent; unconcerned
墓	墓	mu4	tomb; grave
苗	苗	miao2	seedling; sprout
瞄	瞄	miao2	fix one's eyes on; aim
兆	兆	zhao4	omen; million (PRC); trillion (Taiwan); mega- (PRC); tera- (Taiwan); megabyte (PRC)
桃	桃	tao2	peach
犬	犬	quan3	dog (Kangxi radical 94)
尤	尤	you2	outstanding; particularly; especially
默	默	mo4	silent; write from memory
然	然	ran2	correct; thus; so; like that; however
哭	哭	ku1	cry; weep
器	器	qi4	device; tool; utensil
臭	臭	chou4, xiu4	foul; stinking; disgusting; disgraceful; (slang) bad; inferior; defame; discredit; scent; odor
狗	狗	gou3	dog
厌	厭	yan4	loathe; fed up with; be sick of; detest
压	壓	ya1, ya4	to press; push down; keep under (control)<br/>in the first place; to crush
牛	牛	niu2	ox; cow; bull (Kangxi radical 93); exceptional (slang)
特	特	te4	special; unusual; extraordinary
告	告	gao4	to tell; inform; to say
浩	浩	hao4	grand; vast; great; abundant
先	先	xian1	first; early; before
洗	洗	xi3	to wash; bathe
介	介	jie4	be situated between; interpose; upright; armor; shell; (mw for common people and scholars)
界	界	jie4	boundary; scope; extent
茶	茶	cha2	tea
会	會	hui4, kuai4	can; to know how; be good at; be likely to; shall; meeting; conference; accounts
合	合	he2, ge3	to close; to join; to suit; be equal to; whole; together; unit of dry measure for grain equal to one deciliter
哈	哈	ha1	exhale; sip; (sound of laughter)
塔	塔	ta3	pagoda; tower
王	王	wang2, wang4	king; (common surname) (Kangxi radical 96, variant)
玉	玉	yu4	jade (Kangxi radical 96)
球	球	qiu2	ball; globe
现	現	xian4	to appear; to display; present; current; at the time
玩	玩	wan2	to play; have a good time; visit; enjoy
狂	狂	kuang2	crazy; wild; violent; arrogant
皇	皇	huang2	emperor; ruler
