一	一	yi1	one; once; a (article) (Kangxi radical 1)
二	二	er4	two (Kangxi radical 7)
三	三	san1	three
十	十	shi2	ten (Kangxi radical 24)
口	口	kou3	mouth (Kangxi radical 30); (mw for people, mouthfuls)
日	日	ri4	sun; day; date; time (Kangxi radical 72)
几	几	ji3, ji1	small table (Kangxi radical 16)
也	也	ye3	also; too, as well as
不	不	bu4	no; not
木	木	mu4	tree; wood (Kangxi radical 75)
机	機	ji1	machine; aircraft; pivot; opportunity
杯	杯	bei1	cup; (mw for drinks)
人	人	ren2	person; man; people (Kangxi radical 9)
他	他	ta1	he; him; (gender-neutral term for both sexes)
力	力	li4	power; force; strength (Kangxi radical 19)
女	女	nv3	woman; female (Kangxi radical 38)
她	她	ta1	she
子	子	zi3, zi5	son; child; 1st Earthly Branch (Kangxi radical 39); seed; (noun suffix)
好	好	hao3, hao4	good; well; nice; very; quite; be fond of
个	個	ge5, ge4	general measure word; individual
八	八	ba1	eight (Kangxi radical 12); (original meaning: separate; distinguish; all around)
儿	兒	er2	child; son (Kangxi radical 10); ; (retroflex final)
白	白	bai2	white; snowy; pure; bright; empty (Kangxi radical 106)
勺	勺	shao2	spoon; ladle
的	的	de5, di4, di2	(possessive, modifying, or descriptive particle)
四	四	si4	four
文	文	wen2	language; literature; culture; writing (Kangxi radical 67)
这	這	zhe4, zhei4	this; these
这个	這個	zhe4ge5	this
这儿	這兒	zhe4r5	here
门	門	men2	door; opening; gate; (mw for classes and languages) (Kangxi radical 169)
们	們	men5, men2	(particle forming a plural pronoun)
他们	他們	ta1men5	they; them
她们	她們	ta1men5	they; them (for females)
人们	人們	ren2men5	people
止	止	zhi3	to stop; prohibit; only (Kangxi radical 77)
正	正	zheng4, zheng1	just (right); straighten; rectify; correct; currently; at the moment; straight; pure; precisely; first lunar month
是	是	shi4	to be (is, am, are)
手	手	shou3	hand (Kangxi radical 64)
戈	戈	ge1	dagger-axe; halberd (Kangxi radical 62)
我	我	wo3	I; me
我们	我們	wo3men5	we; us
中	中	zhong1, zhong4	in the middle; medium; among; China; to hit (the mark); be hit; receive
么	麼	me5	interrogative/indefinite final particle
什	什	shen2, shi2	what; ten
什么	什麼	shen2me5	what; whatever; anything; something
什么的	什麼的	shen2me5de5	and so on; et cetera
五	五	wu3	five
七	七	qi1	seven
九	九	jiu3	nine
六	六	liu4	six
百	百	bai3	hundred
一边	一邊	yi4bian1	one side; at the same time
这边	這邊	zhe4bian1	this side; here
边	邊	bian1	side; edge; margin; (suffix in place words)
上	上	shang4	above; up; on top; get on; go up; to attend
下	下	xia4	under; below; to descend; to fall; down; next; the second (of two parts)
下边	下邊	xia4bian5	below; under; lower level
一下儿	一下兒	yi2xia4r5	a little bit/while; one time; once
马	馬	ma3	horse (Kangxi radical 187)
马上	馬上	ma3shang4	at once; immediately; right away
吗	嗎	ma5	(particle for yes/no questions)
妈	媽	ma1	ma; mom
大	大	da4, dai4	big; large; great (Kangxi radical 37)
大人	大人	da4ren5	adult
太	太	tai4	too (much); excessively; highest; greatest
太太	太太	tai4tai5	wife; title for married woman; Mrs.; Madame
夫	夫	fu1, fu2	husband; man
大夫	大夫	dai4fu5	doctor; physician
夫人	夫人	fu1ren5	lady; madam; Mrs.; wife
大小	大小	da4xiao3	size; dimension
你	你	ni3	you
你们	你們	ni3men5	you (plural)
又	又	you4	(once) again; also; both (Kangxi radical 29)
友	友	you3	friend
友好	友好	you3hao3	friendly (relations); close friends
土	土	tu3	earth; soil; land; local (Kangxi radical 32); unsophisticated
地	地	di4, de5	earth; ground;; - ly (structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct)
地下	地下	di4xia4	underground; subterranean; covert
在	在	zai4	be at, on, in (a place or time); exist; rest with; (indicating an action in progress)
正在	正在	zheng4zai4	in the process of (doing something); while (doing)
云	雲	yun2	cloud; Yunnan province
运	運	yun4	to move; to transport; luck
动	動	dong4	to move; to use; to act
运动	運動	yun4dong4	(physical) to exercise; movements; sports; campaign
动手	動手	dong4shou3	to get to work; to touch; to strike a blow
会	會	hui4, kuai4	can; to know how; be good at; be likely to; shall; meeting; conference; accounts
机会	機會	ji1hui4	opportunity; chance; occasion
大会	大會	da4hui4	general assembly; mass meeting; convention
一会儿	一會兒	yi2hui4r5	a while; a moment
王	王	wang2, wang4	king; (common surname) (Kangxi radical 96, variant)
玉	玉	yu4	jade (Kangxi radical 96)
国	國	guo2	country; state; nation
中国	中國	zhong1guo2	China
月	月	yue4	moon; month; (Kangxi radical 74: moon; Kangxi radical 130: flesh)
朋	朋	peng2	friend; companion
朋友	朋友	peng2you5	friend
朋友们	朋友們	peng2you3men5	friends
有	有	you3	have; there is
有的	有的	you3de5	some (exist); (there are) some (who/that are)
有力	有力	you3li4	powerful; forceful; vigorous
未	未	wei4	not yet; did not; have not (8th Earthly Branch)
妹	妹	mei4	younger sister
妹妹	妹妹	mei4mei5	younger sister
来	來	lai2	come; arrive; ever since; next
上来	上來	shang4 lai2	come up; begin; at the beginning; in sum; (verb complement indicating success or degree)
下来	下來	xia4 lai2	come down; (verb suffix indicating continuation, etc.)
了	了	le5, liao3, liao4	(particle for a new situation or completed action), finish; understand; clear
说	說	shuo1, shui4	speak; to say; to talk
语	語	yu3	dialect; language; speech
多	多	duo1	many; much; a lot of; more than
多么	多麼	duo1me5	how (wonderful, etc.); what (a great idea); to what extent
多云	多雲	duo1yun2	cloudy
名	名	ming2	name; reputation; famous; (mw for people)
外	外	wai4	outer; outside; in addition; foreign
外边	外邊	wai4bian5	outside; exterior; abroad
外语	外語	wai4yu3	foreign language
外文	外文	wai4wen2	(written) foreign language
外国	外國	wai4guo2	foreign country
在外	在外	zai4wai4	excluded; outer; outside
外人	外人	wai4ren2	stranger; outsider
外国人	外國人	wai4guo2ren2	foreigner
刀	刀	dao1	knife; blade (Kangxi radical 18)
刀子	刀子	dao1zi5	knife
分	分	fen1, fen4	divide; part; minute; cent<br/>component; share; ingredient; point
十分	十分	shi2fen1	very; extremely; one hundred percent; completely; utterly; absolutely
到	到	dao4	arrive (at a place); until (a time)
倒	倒	dao3, dao4	collapse; fall; fail; exchange<br/>invert; move backwards; pour; contrary to expectations
天	天	tian1	day; sky; heaven; weather
白天	白天	bai2tian1	daytime; during the day; day
天天	天天	tian1tian1	every day
明	明	ming2	clear; bright; light; brilliant, understand
汉	漢	han4	Han (ethnic group); Han (dynasty)
汉语	漢語	Han4yu3	Chinese (language)
另	另	ling4	another; other; separate
别	別	bie2, bie4	don't; depart; other; difference; distinguish
别的	別的	bie2de5	other
别人	別人	bie2ren2	other people; others
如	如	ru2	if; as if; such as; for example; compared to
不如	不如	bu4ru2	not as good as; inferior to; it would be better to
丁	丁	ding1	fourth; male adult; robust; cubes (of food); T-shaped; (4th Heavenly Stem) nail (primitive form)
行	行	xing2, hang2	to walk; be current; do; will do; okay; a row; series; place; a firm; (Kangxi radical 144)
不行	不行	bu4xing2	won't do; be out of the question; not ok
行动	行動	xing2dong4	to move; get around; action; operation
学	學	xue2	to study; learn; science; -ology
大学	大學	da4xue2	university; college
中学	中學	zhong1xue2	middle-school
上学	上學	shang4 xue2	go to school
文学	文學	wen2xue2	literature
车	車	che1, ju1	car; vehicle; machine (Kangxi radical 159); (written) chariot
连	連	lian2	connect; link; in succession; even
开	開	kai1	to open; to start; to turn on; to operate (a vehicle)
开学	開學	kai1xue2	start school; begin a term
开车	開車	kai1che1	to drive (a vehicle)
去	去	qu4	go; go to (a place); send; cause to go; remove; get rid of; depart from
上去	上去	shang4qu5	go up
下去	下去	xia4qu4	go down; descend; to go on (continue) 
法	法	fa3	law; method; way
法语	法語	Fa3yu3	French (language)
法文	法文	Fa3wen2	French (language)
语法	語法	yu3fa3	grammar
耳	耳	er3	ear (Kangxi radical 128)
取	取	qu3	to take; get; choose
千	千	qian1	thousand
前	前	qian2	before; in front; forward
前边	前邊	qian2bian5	in front; ahead
安	安	an1	peaceful; calm; safe; content; settle; stabilize
天安门	天安門	Tian1'an1men2	Tiananmen; Gate of Heavenly Peace
字	字	zi4	word; letter; character
汉字	漢字	Han4zi4	Chinese character
名字	名字	ming2zi5	a name
目	目	mu4	eye; item; section (Kangxi radical 109)
目前	目前	mu4qian2	at present; now; for the moment
自	自	zi4	from; since; self (Kangxi radical 132)
自动	自動	zi4dong4	automatic
自行车	自行車	zi4xing2che1	bike; bicycle
咱	咱	zan2, za2	we; us; our
咱们	咱們	zan2men5	we; us; our
阳	陽	yang2	positive (electricity); male; sun
太阳	太陽	tai4yang2	the sun
阴	陰	yin1	yin (principle); the moon; negative; secret; shade; cloudy
阴天	陰天	yin1tian1	overcast; cloudy day
那	那	na4, nei4	that; in that case; then
那个	那個	na4ge5	that one
那么	那麼	na4me5	well... ; in that case; like that; in that way; so very much
那儿	那兒	na4r5	there; that place (Beijing accent)
那边	那邊	na4bian5	that side; that place; over there
哪	哪	na3, nei3, na5	which; how
哪儿	哪兒	na3r5	where; wherever (northern China)
哪个	哪個	na3ge5	which (also nǎ-)
西	西	xi1	West (Kangxi radical 146)
西边	西邊	xi1bian5	west; west side; west of
西安	西安	Xi1'an1	Xi'an, capital of Shaanxi Province
要	要	yao4, yao1	to want; to need; will/shall; important; demand; request
不要	不要	bu2yao4	don't ...; don't want...
要是	要是	yao4shi5	if; suppose; in case
酒	酒	jiu3	wine; liquors; spirits
酒杯	酒杯	jiu3bei1	wine glass (or cup)
从	從	cong2	from; follow; since; obey; observe
从前	從前	cong2qian2	previously; formerly; in the past; once upon a time
自从	自從	zi4cong2	since; ever since
村	村	cun1	village; rustic; boorish
村子	村子	cun1zi5	village; hamlet
时	時	shi2	time; o'clock; when
小时	小時	xiao3shi2	hour
有时	有時	you3shi2	sometimes; now and then; at times
过	過	guo4	to pass; to cross; go over; celebrate; (indicates a past experience)
过来	過來	guo4 lai5	come here; come over; be able to handle
过去	過去	guo4qu4	in the past; formerly; go over
身	身	shen1	body; torso; person (Kangxi radical 158)
动身	動身	dong4 shen1	go on a journey; leave
身边	身邊	shen1bian1	at or by one's side
谢	謝	xie4	thank; wither (plants); surname Xie
谢谢你	謝謝你	xie4xie5ni3	thank you
家	家	jia1	family; home; household; MW for businesses
大家	大家	da4jia1	everyone; everybody
国家	國家	guo2jia1	country; state; nation
山	山	shan1	mountain; hill; peak (Kangxi radical 46)
羊	羊	yang2	sheep (Kangxi radical 123)
小羊	小羊	xiao3 yang2	lamb
山羊	山羊	shan1yang2	goat; buck (sport)
样	樣	yang4	appearance; shape; form; manner; sample; model; pattern; tendency; likelihood
那样	那樣	na4yang4	that kind; that sort
样子	樣子	yang4zi5	manner; air; style; appearance; looks
一样	一樣	yi2yang4	the same; alike; equal to
这样	這樣	zhe4yang4	this way; this (kind of, sort of); like this
班	班	ban1	team; class; squad; shift
上班	上班	shang4ban1	go to work; be on duty; start work; go to the office
下班	下班	xia4 ban1	get off work; finish work
出	出	chu1	go out; occur
出来	出來	chu1lai2	come out; emerge
出去	出去	chu1qu4	go out
出口	出口	chu1kou3	to speak; to utter; ; exit; way out; ; to export; (of ships) to leave port;; exhaust; outfall; outlet; egress; discharge point; vent
岁	歲	sui4	years old; age
旦	旦	dan4	dawn; morning; day-break
但	但	dan4	but; yet; however
但是	但是	dan4shi4	but; however
不但	不但	bu2dan4	not only
得	得	de2, dei3, de5	obtain; must; (complement particle)
得到	得到	de2dao4	get; obtain
取得	取得	qu3de2	obtain; acquire; to gain
公	公	gong1	public; fair; honorable (designation); international; male (animal)
公开	公開	gong1kai1	public; make public
以	以	yi3	to use; according to; so as to; for; by
以前	以前	yi3qian2	before; formerly; previously
以外	以外	yi3wai4	beyond; apart from; other than; except for
之	之	zhi1	(literary equivalent to 的); (pronoun); of
分之	分之	fen1zhi1	(indicating a fraction)
之前	之前	zhi1 qian2	before; prior to; ago
之下	之下	zhi1 xia4	(formal) under; beneath; less than
之中	之中	zhi1 zhong1	inside; in; in the process of
为	為	wei2, wei4	be; become; for; on account of
为了	為了	wei4le5	in order to; for the sake of; for the purpose of
以为	以為	yi3wei2	think (mistakenly); consider (that); believe
为什么	為什麼	wei4shen2me5	why
办	辦	ban4	to do; to manage; to handle; to set up
办法	辦法	ban4fa3	way (of doing sth.); means; measure; method
办公	辦公	ban4 gong1	to work; handle official business
干	干	gan1	to concern; shield (Kangxi radical 51)
干杯	乾杯	gan1bei1	drink a toast; cheers!; bottoms up!
干吗	幹嗎	gan4ma2	what's going on?; what are you doing?; whatever for?
午	午	wu3	noon (7th Earthly Branch)
上午	上午	shang4wu3	morning (before noon)
中午	中午	zhong1wu3	noon; midday
下午	下午	xia4wu3	afternoon
禾	禾	he2	grain (Kangxi radical 115)
