建	建	jian4	establish; to build; to construct
重建	重建	chong2jian4	to rebuild; to reconstruct; to reestablish; reconstruction; rebuilding
到底	到底	dao4di3	in the end; after all (in a question for emphasis); until the end, go to the end of the road (direction)
世纪	世紀	shi4ji4	century
贸易	貿易	mao4yi4	(commercial) trade
商业	商業	shang1ye4	business; commerce; trade
利益	利益	li4yi4	benefit; (in sb.'s) interest
派	派	pai4	school; group; to dispatch; send; assign; pi (Greek letter Ππ); (loanword) pie
军队	軍隊	jun1dui4	army troops; armed forces
烧	燒	shao1	to burn; to cook; to stew
城墙	城牆	cheng2qiang2	city wall
头发	頭髮	tou2fa5	hair (on the head)
甚至	甚至	shen4zhi4	even (to the point of); so much so that
打仗	打仗	da3zhang4	fight; go to war; fight a battle
少数	少數	shao3shu4	small number; minority; few
开垦	開墾	kai1ken3	clear a wild area for cultivation
将军	將軍	jiang1jun1	a general (military officer)
军人	軍人	jun1ren2	soldier; military personnel
平原	平原	ping2yuan2	field; plain; flatlands
人口	人口	ren2kou3	population; the populace
血统	血統	xue4tong3	lineage; blood relationship
喽	嘍	lou5, lou2	(final particle used to attract attention); a final particle meaning 'in that case'
孙子	孫子	sun1zi5	grandson; Sun Zi (Chinese philosopher - Sun1zi3)
领土	領土	ling3tu3	territory
男性	男性	nan2xing4	male; man
禁止	禁止	jin4zhi3	ban; forbid; prohibit
娶	娶	qu3	marry (a wife); take a wife
相信	相信	xiang1xin4	believe (sb.); be convinced of
精彩	精彩	jing1cai3	brilliant; spectacular; wonderful
红毛城	紅毛城	hong2mao2cheng2	Fort Santo Domingo, lit. red-hair city (wall)
东方	東方	dong1fang1	the East; Eastern countries
淡水	淡水	dan4shui3	freshwater; potable water (water with low salt content); Popular tourist destination in Northern Taiwan.
汉人	漢人	Han4ren2	the Han people
郑成功	鄭成功	zheng4cheng2gong1	Zheng Chenggong (Koxinga, 國姓爺, 1624-1662, who ruled Taiwan against the Manchu sovereignety)
明朝	明朝	Ming2chao2	Ming Dynasty
中南美洲	中南美洲	zhong1nan2mei3zhou1	Central and South America 
清朝	清朝	Qing1chao2	Qing dynasty (1644-1911)
大清帝国	大清帝國	da4qing1di4guo2	the (great) Qing dynasty (1644-1911); Qing empire
轮到	輪到	lun2dao4	become the turn of
十七世纪初	十七世紀初	shi2 qi1 shi4 ji4 chu1	early 17th century
打败	打敗	da3bai4	to defeat; be defeated
十七世纪末	十七世紀末	shi2 qi1 shi4 ji4 mo4	late 17th century
餐桌	餐桌	can1zhuo1	dining table
