小玲	小玲	xiao3ling2	Xiao Ling, a given name, usually for woman
阿健	阿健	A1jian4	Male name
聊天室	聊天室	liao2tian1shi4	chat room
上班族	上班族	shang4ban1zu2	office workers (as a social group)
与其	與其	yu3qi2	rather than; better than
冷清	冷清	leng3qing1	cold and cheerless; lonely; deserted
高就	高就	gao1jiu4	be employed; be promoted
部门	部門	bu4men2	department; branch; section
厉害	厲害	li4hai5	terrible; formidable; fierce; cool; awesome
加班	加班	jia1 ban1	work overtime; work an extra shift; work extra hours
类	類	lei4	kind; type; class; category; resemble
恐怖片	恐怖片	kong3bu4pian4	horror film
爱情片	愛情片	ai4qing2 pian4	romantic movie
吓	嚇	xia4, he4	frighten; to scare; intimidate
哭	哭	ku1	cry; weep
上瘾	上癮	shang4yin3	become addicted; get into a habit
刺激	刺激	ci4ji1	to excite; exciting; to stimulate; to invigorate
简直	簡直	jian3zhi2	simply; at all
胆子	膽子	dan3zi5	courage; nerves
部	部	bu4	part; section; department; (mw for machines; movies; books)
限制级	限制級	xian4zhi4ji2	restricted (movie); adult (film)
电影院	電影院	dian4ying3yuan4	cinema; movie theater
呃	呃	e4	sound expressing hesitation; hiccup; used at end of sentence to express surprise or admiration
建设公司	建設公司	jian4she4gong1si1	Construction Company 
业务经理	業務經理	ye4wu4 jing1li3	business manager
室内设计	室內設計	shi4nei4 she4ji4	interior design
温暖	溫暖	wen1nuan3	warm; warmth; kindness
目前	目前	mu4qian2	at present; now; for the moment
所	所	suo3	place; office; that which; (mw for houses, buildings, facilities)
就读	就讀	jiu4du2	attend school
不至于	不至於	bu2zhi4yu2	cannot go so far; not to such an extent as to
但	但	dan4	but; yet; however
放学	放學	fang4xue2	dismiss from school; after school
候	候	hou4	await; inquire after
解决	解決	jie3jue2	settle (a dispute); resolve; solve; dispose of; finish off
寂寞	寂寞	ji4mo4	lonely; lonesome
网友	網友	wang3you3	online friend; internet user; netizen 
陪伴	陪伴	pei2ban4	accompany
电脑	電腦	dian4nao3	computer
进入	進入	jin4ru4	enter; join; get into; take on
线上	線上	xian4shang4	online
感情	感情	gan3qing2	feeling; emotion; affection; love; in relationship
小气	小氣	xiao3qi4	stingy; petty
时	時	shi2	time; o'clock; when
往往	往往	wang3wang3	often; frequently; more often than not
打气	打氣	da3qi4	inflate; encourage
安慰	安慰	an1wei4	to comfort; to console
心里	心裡	xin1li5	at heart; in one's heart and mind
大胆	大膽	da4dan3	daring; brazen; audacious; bold
纾解	紓解	shu1jie3	relieve; alleviate; ease pressure
转换	轉換	zhuan3huan4	to transform; to change; to convert
虚拟	虛擬	xu1ni3	fictitious; hypothetical; virtual
现实	現實	xian4shi2	reality; actuality; practical; real; actual
心理	心理	xin1li3	mental; psychological; mentality 
即使	即使	ji2shi3	even if; even though
责备	責備	ze2bei4	to blame; criticize (sb.); accuse
期待	期待	qi1dai4	look forward to; await; expectation
喘气	喘氣	chuan3qi4	pant; gasp for breath
自在	自在	zi4zai5	free; unrestrained; at ease; comfortable
交友	交友	jiao1you3	to make friends
暴力	暴力	bao4li4	violence
点	點	dian3	spot; drop; dot; point; a bit; a little; o'clock; to order (in a restaurant); to light; to ignite
懂得	懂得	dong3de5	understand; to grasp; know
陷阱	陷阱	xian4jing3	pitfall; trap; snare
明星高中	明星高中	ming2xing1gao1zhong1	distinguished high school
早出晚归	早出晚歸	zao3chu1wan3gui1	go out early and return late
打开	打開	da3kai1	to open; turn on
喘不过气	喘不過氣	chuan3bu2guo4qi4	unable to breathe easily
躲进	躲進	duo3jin4	hide
掉进	掉進	diao4jin4	throw into
李云真	李雲真	li3yun2zhen1	Li Yunzhen
眼睛	眼睛	yan3jing5	eye
耳朵	耳朵	er3duo5	ear
飨宴	饗宴	xiang3yan4	feast; banquet
打扮	打扮	da3ban5	dress up; put on make up; way or style of dressing
音乐厅	音樂廳	yin1yue4ting1	concert hall
表演	表演	biao3yan3	perform; performance
整齐	整齊	zheng3qi2	tidy; neat; in good order
穿著	穿著	chuan1zhuo2	attire; clothes; dress; wearing
丢脸	丟臉	diu1lian3	lose face; be disgraced
短裤	短褲	duan3ku4	shorts; knickers; pants
凉鞋	涼鞋	liang2xie2	sandals
挡	擋	dang3, dang4	to block; hinder; gear; equipment; arrange; put in order
演出者	演出者	yan3chu1zhe3	performer
尊重	尊重	zun1zhong4	to respect; to value; to esteem; to honor; eminent; serious; proper
社交	社交	she4jiao1	social contact
免得	免得	mian3de5	so as not to; so as to avoid
中场	中場	zhong1chang3	half-time; intermission; midfield/mid-court; 
准时	準時	zhun3shi2	punctually; on time; on schedule
礼貌	禮貌	li3mao4	courtesy; politeness; manners
或	或	huo4	or; perhaps
