由	由	you2	through; via; by; from; let (someone do something)
工	工	gong1	work; skill (Kangxi radical 48)
时代	時代	shi2dai4	age; era; period
灬	灬	huo3	fire (Kangxi radical 86, variant)
吃	吃	chi1	to eat
早	早	zao3	early; (early) morning; good morning!
言	言	yan2	speak; speech; talk; word (Kangxi radical 149)
提到	提到	ti2dao4	to mention; to refer to
这么说	這麼說	zhe4me5shuo1	saying this way; so; then
共同	共同	gong4tong2	together; to have in common; jointly; shared
教育	教育	jiao4yu4	education; to educate
勿	勿	wu4	not; do not
使	使	shi3	to use; to make; to cause; enable; envoy; messenger
刺激	刺激	ci4ji1	to excite; exciting; to stimulate; to invigorate
一时	一時	yi4shi2	short period of time; temporary; for the moment
周围	周圍	zhou1wei2	surroundings; vicinity; environment
不至于	不至於	bu2zhi4yu2	cannot go so far; not to such an extent as to
首	首	shou3	head; chief; first; (mw for poems and songs) (Kangxi radical 185)
跑步	跑步	pao3 bu4	to run; to jog
不但	不但	bu2dan4	not only
低	低	di1	low; beneath; lower (one's head); droop
可怕	可怕	ke3pa4	terrible; awful; frightful; scary
至少	至少	zhi4shao3	at least; (to say the) least
一同	一同	yi4tong2	together; along; at the same time and place
退	退	tui4	to retreat; decline; withdraw; return (goods)
星期	星期	xing1qi1	week
越	越	yue4	even more; exceed; get over
课文	課文	ke4wen2	text (of a lesson)
激	激	ji1	arouse; incite; excite
厉害	厲害	li4hai5	terrible; formidable; fierce; cool; awesome
马	馬	ma3	horse (Kangxi radical 187)
全新	全新	quan2xin1	brand-new
找钱	找錢	zhao3qian2	to give change
高速	高速	gao1su4	high speed
心理	心理	xin1li3	mental; psychological; mentality 
简直	簡直	jian3zhi2	simply; at all
打气	打氣	da3qi4	inflate; encourage
刺	刺	ci4, ci1	thorn; to sting; to prick; to stab; to murder<br/>(onom.) whoosh
敫	敫	jiao3	surname Jiao; an ancient musical instrument
进入	進入	jin4ru4	enter; join; get into; take on
真理	真理	zhen1li3	truth
小气	小氣	xiao3qi4	stingy; petty
趁	趁	chen4	avail oneself of; take advantage of (an opportunity or situation)
选举	選舉	xuan3ju3	to elect; election
攵	攵	pu1	to strike; (right hand holding an axe) (Kangxi radical 66, variant)
瑞	瑞	rui4	lucky; auspicious; good omen
餐桌	餐桌	can1zhuo1	dining table
日出	日出	ri4chu1	sunrise
实在	實在	shi2zai4	really; in truth; honest; dependable 
花费	花費	hua1fei4	expense; cost; spend (time or money)
安慰	安慰	an1wei4	to comfort; to console
少数	少數	shao3shu4	small number; minority; few
塞	塞	sai1, se4, sai4	stop up; to stuff<br/>obstruct<br/>place of strategic importance
不敢当	不敢當	bu4 gan3dang1	lit. I dare not (accept the honor); fig. I don't deserve your praise / you flatter me
豆浆	豆漿	dou4jiang1	soy milk
人民	人民	ren2min2	the people
温暖	溫暖	wen1nuan3	warm; warmth; kindness
感冒	感冒	gan3mao4	catch cold; (common) cold
科技	科技	ke1ji4	science and technology  
认真	認真	ren4zhen1	serious; earnest; take seriously, conscientious
炫	炫	xuan4	blind (from bright light); dazzle; show off;  brag; boast
家长	家長	jia1zhang3	parent or guardian of a child; head of a family
乘	乘	cheng2	to ride; to mount; make use of; multiply
头发	頭髮	tou2fa5	hair (on the head)
平原	平原	ping2yuan2	field; plain; flatlands
记住	記住	ji4zhu5	remember; memorize
男性	男性	nan2xing4	male; man
凉	涼	liang2, liang4	cool; cold<br/>make something cool/cold
研究所	研究所	yan2jiu1suo3	graduate studies; graduate school; research institute
对话	對話	dui4hua4	dialogue; conversation
改变	改變	gai3bian4	to change; alter; transform
平均	平均	ping2jun1	average; mean; share equally
快	快	kuai4	fast; quick; soon
度	度	du4, duo2	capacity; degree; degree (mw for temperature, angles); measure; scale; to spend (time)<br/>to estimate; surmise
历	歷	li4	history; take place; past
能	能	neng2	can; be able; capable; energy; ability
对面	對面	dui4mian4	opposite; across from; the other side
有的	有的	you3de5	some (exist); (there are) some (who/that are)
化	化	hua4, hua1	change; convert; melt
际	際	ji4	border; boundary; between
事情	事情	shi4qing5	matter; affair; thing; business
束	束	shu4	to tie; to bind; restrain; (mw for bunches, bundles, bouquets, etc.)
艸	艸	cao3	grass (Kangxi radical 140)
厉	厲	li4	severe; harsh; whetstone
幸运	幸運	xing4yun4	luck; be lucky; good fortune
交友	交友	jiao1you3	to make friends
慢用	慢用	man4yong4	use slowly; enjoy your (meal, etc.)
注射	注射	zhu4she4	injection; inject (medicine)
画家	畫家	hua4jia1	painter (artist)
水准	水準	shui3zhun3	level; standard; water level
谈话	談話	tan2 hua4	to talk; to chat; conversation
害	害	hai4	do harm to; cause trouble to; to adversely impact somebody
慰	慰	wei4	reassure; comfort; console
吓	嚇	xia4, he4	frighten; to scare; intimidate
到底	到底	dao4di3	in the end; after all (in a question for emphasis); until the end, go to the end of the road (direction)
吉祥	吉祥	ji2xiang2	lucky; auspicious
整型	整型	zheng3xing2	(computing) integer; plastic surgery
厌	厭	yan4	loathe; fed up with; be sick of; detest
饮料	飲料	yin3liao4	beverage; drink
战争	戰爭	zhan4zheng1	war; conflict 
著	著	zhu4, zhe5, zhao2	write; book; make known; prove<br/>-ing (indicating action in progress, when used as a traditional character)<br/>to touch; come into contact with
村子	村子	cun1zi5	village; hamlet
酸	酸	suan1	sour; sore; ache
市中心	市中心	shi4zhong1xin1	downtown; city center
整齐	整齊	zheng3qi2	tidy; neat; in good order
友	友	you3	friend
专	專	zhuan1	concentrated; focused; specialized
不得不	不得不	bu4de2bu4	have to; have no choice but to; cannot but
存	存	cun2	exist; survive; to deposit; to store
渴	渴	ke3	thirsty
房租	房租	fang2zu1	rent money (for a house or apartment)
练	練	lian4	to practice; to train; to drill
并	並	bing4	equal to; side by side; both; also
现象	現象	xian4xiang4	appearance; phenomenon
老师	老師	lao3shi1	teacher
力气	力氣	li4qi5	physical strength; effort
右	右	you4	the right side; to the right
高就	高就	gao1jiu4	be employed; be promoted
与其	與其	yu3qi2	rather than; better than
水平	水平	shui3ping2	standard; proficiency; level; horizontal
冷清	冷清	leng3qing1	cold and cheerless; lonely; deserted
打听	打聽	da3ting5	ask about; inquire about
加班	加班	jia1 ban1	work overtime; work an extra shift; work extra hours
就读	就讀	jiu4du2	attend school
网友	網友	wang3you3	online friend; internet user; netizen 
放学	放學	fang4xue2	dismiss from school; after school
春联	春聯	chun1lian2	Spring Festival couplets
企盼	企盼	qi3pan4	wait in hope; wish for; expect
门票	門票	men2piao4	admissions ticket
爱情	愛情	ai4qing2	(romantic) love
办公室	辦公室	ban4gong1shi4	office
永	永	yong3	forever; always; eternal
代	代	dai4	era; generation; dynasty; substitute; replace
任	任	ren4	appoint; at will; office; no matter (what, how, etc.)
自在	自在	zi4zai5	free; unrestrained; at ease; comfortable
宠	寵	chong3	spoil; pamper; favor
易	易	yi4	to exchange; easy; amiable
道理	道理	dao4li5	principle; reason; sense; argument
饮食	飲食	yin3shi2	food and drink; diet
小心	小心	xiao3xin1	be careful
育	育	yu4	to produce; give birth to; to raise; educate (nuture]
慢慢来	慢慢來	man4man4lai2	take it easy; take your time
比如	比如	bi3ru2	for example; for instance; such as
外表	外表	wai4biao3	outward appearance; external; outside
处	處	chu3, chu4	get along with; be in; deal with; punish<br/>place; department
退休	退休	tui4xiu1	retirement (from work); retire
中部	中部	zhong1bu4	center; middle part
公正	公正	gong1zheng4	just; fair
上当	上當	shang4 dang4	be fooled; be duped; be taken in
合理	合理	he2li3	rational; reasonable; equitable
专家	專家	zhuan1jia1	expert; specialist
啊	啊	a1, a2, a3, a4, a5	ah; (particle showing elation, doubt, puzzled surprise, or approval)
拍子	拍子	pai1zi5	(sports) bat/racket; (music) beat
支持	支持	zhi1chi2	sustain; hold out; support; stand by (e.g. international support)
随便	隨便	sui2bian4	as one pleases; informal; random; casual; it doesn't matter
或是	或是	huo4shi4	or; either one or the other
重建	重建	chong2jian4	to rebuild; to reconstruct; to reestablish; reconstruction; rebuilding
世纪	世紀	shi4ji4	century
解决	解決	jie3jue2	settle (a dispute); resolve; solve; dispose of; finish off
事业	事業	shi4ye4	undertaking; project; cause; enterprise; career; publicly funded institution 
往往	往往	wang3wang3	often; frequently; more often than not
气	气	qi4	air; steam; gas (Kangxi radical 84)
气	氣	qi4	air; anger; steam; gas; spirit
业	業	ye4	industry; occupation; enterprise; property; (Buddhism) karma; deed; to engage in
听到	聽到	ting1dao4	hear; get to know (from hearing)
学费	學費	xue2fei4	tuition
人工	人工	ren2gong1	man-made; manpower; manual work
智	智	zhi4	wisdom; knowledge; intelligence
左右	左右	zuo3you4	about; approximate; around; left and right
发	髮	fa4, fa3	hair
发	發	fa1	send out; to issue; to show (one's feelings); to develop
一一	一一	yi1yi1	one by one; one after another
安心	安心	an1xin1	at ease; relieved
展出	展出	zhan3chu1	to put on display; be on show; to exhibit
学问	學問	xue2wen5	learning; knowledge
处理	處理	chu3li3	deal with; to handle; dispose of; to process; sell at a discount; punish
漂	漂	piao4, piao1, piao3	elegant<br/>to float<br/>to bleach
原料	原料	yuan2liao4	raw material; ingredients
毕	畢	bi4	finish; accomplish; conclude; the whole of; full
利	利	li4	advantage; benefit; profit; sharp
疏	疏	shu1	sparse; scattered; negligent; to dredge (a river)
作品	作品	zuo4pin3	works (of literature and art)
破	破	po4	broken; damaged; to split; to break
课程	課程	ke4cheng2	course; curriculum; class
影片	影片	ying3pian4	film; movie
当作	當作	dang4zuo4	treat as; regard as; look upon
便条	便條	bian4tiao2	note; memo
数	數	shu4, shu3, shuo4	number; to count; to rank; frequently; repeatedly
回信	回信	hui2 xin4	to reply (to a letter); write back
饭馆	飯館	fan4guan3	restaurant
城市	城市	cheng2shi4	city or town
姐	姐	jie3	older sister; sister;<br/>a general term for young women;<br/>elder female relative of the same generation in the clan
西瓜	西瓜	xi1gua1	watermelon
梦	夢	meng4	dream
休息	休息	xiu1xi5	to rest; take a break
教	教	jiao1, jiao4	to teach; instruct<br/>religion; teaching
空	空	kong1, kong4	empty; sky<br/>leave blank; leisure
作曲	作曲	zuo4qu3	compose (music)
重要	重要	zhong4yao4	important; significant; major
旅行	旅行	lv3xing2	to travel; a journey
菜单	菜單	cai4dan1	menu; bill of fare
舞	舞	wu3	to dance; wield; brandish
