char	chap	tocfl	definition	heisig	top3000	tuttle	words
玲	1	-1	(tinkling sound of gem pendants)	0	2370	2203	[]
阿	1	-1	prefix used before monosyllabic names, kinship terms etc to indicate familiarity; used in transliteration; abbr. for Afghanistan; to flatter (pronounced e1)	0	980	679	[]
族	1	3	race; nationality; ethnicity; clan	763	927	595	['貴族', '種族']
怖	1	4	terror; fear; frightened	0	1771	2146	[]
癮	1	5	addiction; habitual craving; habit	0	2608	2180	['上癮']
膽	1	4	gallbladder; courage; internal parts	0	2948	1466	['膽量', '膽小', '膽', '膽固醇']
限	1	3	limit; bound	0	1090	763	['限制', '期限', '無限', '限制', '限度', '有限']
制	1	3	system; formulate; restrict	0	393	350	['制度', '管制', '控制', '限制', '制定', '制訂', '制止', '編制', '抵制', '法制', '機制', '克制', '統制', '學制', '壓制', '抑制', '制裁', '專制', '自制']
院	1	2	courtyard; institution	326	989	282	['出院', '法院', '後院', '劇院', '美容院', '前院', '住院']
呃	1	-1		0	0	0	[]
設	1	3	set up; arrange; establish	598	598	288	['設備', '設計', '開設', '設立', '設置', '設', '設施', '設想']
務	1	3	business; affair; engaged in; be sure to	592	933	352	['業務', '義務', '服務', '公務', '公務員', '事務', '務實', '職務']
設	1	3	set up; arrange; establish	598	598	288	['設備', '設計', '開設', '設立', '設置', '設', '設施', '設想']
寂	1	4	lonesome; silent; quiet; desolate; (Taiwan pr.)	0	605	1414	[]
寞	1	4	lonesome; still	0	1563	1860	[]
伴	1	5	partner; associate; to accompany	0	907	1169	['夥伴', '陪伴', '同伴']
膽	1	4	gallbladder; courage; internal parts	0	2948	1466	['膽量', '膽小', '膽', '膽固醇']
紓	1	-1		0	0	0	[]
轉	1	1	to turn; to change; pass on; transfer; revolve; rotate	0	1469	316	['運轉', '轉', '轉變', '轉播', '轉達', '轉告', '轉機', '轉身', '轉向', '扭轉', '旋轉', '周轉', '轉動', '轉化', '轉機', '轉手', '轉眼', '轉移', '轉帳']
虛	1	3	empty; void; false; weak	0	1454	1256	['虛擬', '虛心']
擬	1	5	to plan; to draft; intend; imitate	0	2369	1728	['擬', '擬定', '虛擬']
喘	1	5	breathe heavily; to pant; gasp; asthma	0	2160	2153	[]
暴	1	4	sudden and violent; cruel; short-tempered; expose to the sun	0	2696	1073	['暴躁', '暴雨', '殘暴', '風暴', '暴露']
陷	1	5	to fall; trap; get bogged down; to sink	0	2927	1445	['缺陷', '陷入']
阱	1	-1		0	0	0	[]
歸	1	5	go back to; to return; under the charge of; to belong to	0	2242	950	['歸還', '歸納']
喘	1	5	breathe heavily; to pant; gasp; asthma	0	2160	2153	[]
躲	1	4	to hide; to dodge; avoid	0	2227	1632	['躲避']
饗	2	-1		0	0	0	[]
宴	2	4	feast; banquet	919	187	1603	[]
扮	2	4	disguise oneself; dress up; adorn	0	1886	1662	['打扮']
演	2	3	act; develop; perform; practice; to show (a film)	684	1434	298	['導演', '演', '演出', '演講', '演員', '扮演', '導演', '開演', '演唱', '演奏', '上演', '演變', '演講', '演說', '演習']
褲	2	1	trousers; pants	0	524	1626	['牛仔褲']
擋	2	4	to block; hinder; gear; equipment; arrange; put in order	0	1897	2132	['阻擋']
演	2	3	act; develop; perform; practice; to show (a film)	684	1434	298	['導演', '演', '演出', '演講', '演員', '扮演', '導演', '開演', '演唱', '演奏', '上演', '演變', '演講', '演說', '演習']
尊	2	3	senior; to honor; respect; venerate: (honorific) your; (measure word for cannons and statues)	0	1063	1064	['尊重', '尊', '尊嚴']
貌	2	4	appearance	0	2446	1307	['禮貌']
熟	2	2	ripe; cooked; familiar; skilled	775	298	840	['成熟', '熟悉', '熟練', '熟人']
咳	2	2	(sound of sighing); cough	537	2497	2386	[]
嗽	2	2	cough	533	2583	2924	[]
哇	2	2	wow; (sound of crying or vomiting); (used for 啊 after words ending with u or ao)	0	152	2531	[]
冊	2	4	book; booklet; (mw for books)	0	2712	1844	['註冊', '手冊']
醒	2	3	wake up; regain consciousness; sober up	0	2513	1028	['醒來', '清醒', '提醒']
糟	2	4	dregs; distillers' grain; to waste; spoil; in a mess; pickle with wine dregs or in wine	0	2162	2300	['糟糕']
噓	2	-1		0	0	0	[]
絡	2	3	net; entwine	0	2303	1852	['聯絡']
擤	2	-1		0	0	0	[]
鼻	2	0	nose (Kangxi radical 209)	0	574	1239	['鼻涕', '鼻孔']
涕	2	4	nasal mucus; tears	0	2220	2713	[]
